Question,Class
Decomposers are important in the food chain because they?,B2
A lamp converts electrical energy to light energy In addition to the light energy much of this electrical energy is also converted to?,B1
What was another name for gin houses early in the 19th century?,A1
Which structure best protects a cactus from being eaten by animals?,A1
Beryl finds a rock and wants to know what kind it is Which piece of information about the rock will best help her to identify it?,A3
What is the function of skin on the human body?,B2
Which type of light can cause severe eye damage if it is viewed directly?,A1
Actin filaments are part of the contractile machinery in smooth muscle cells of eukaryotic organisms Which organelle is responsible for contractile movement in these cells?,B1
Diamonds are formed when carbon is placed under extreme heat and pressure This process occurs?,B1
Which object will conduct electricity conduct heat and be attracted to a magnet?,B1
Solar energy is referred to as the energy of the future because?,B2
Granite is a hard material and forms from cooling magma Granite is a type of?,A1
What is the term for the amount of heat per unit mass required to raise the temperature of a material by one degree Celsius?,A1
In which type of blood vessel is blood pressure normally monitored?,A1
Most hormones are produced by which human organ system?,A1
The barred owl has been moving into the habitat of the spotted owl This could lead to a reduction in the spotted owl population if the?,B2
Which measurement is best expressed in light-years?,A1
When astronomers want to measure the distance between nearby stars they often use?,A1
Which kind of events can form mountains?,A1
Where in the cell does glycolysis occur?,A1
An increase in greenhouse gases which are believed to cause global warming is due to a change in which occurrence?,A1
Scientists have observed an increase in global temperatures over the past 100 years Which phenomena do scientists believe contributes to the increase in temperatures?,A1
Asbestos fibers cause a cancer called mesothelioma in humans The fibers kill cells that line lung tissue by causing programmed-cell death When cells die this way they release a chemical HMG1 which causes an inflammatory response in other cells During this inflammatory response cells release chemicals that promote tumor growth What conclusion can you draw about the chemicals released in the inflammatory response?,C5
Earth along with the other planets revolves around the Sun The planets revolve in a counterclockwise direction The cause of the revolution is mostly due to which force?,B1
Melinda learned that days in some seasons have more daylight hours than in other seasons Which season receives the most hours of sunlight in the Northern Hemisphere?,A1
Which process accounts for the expansion and contraction of rocks?,A1
Which characteristic is exclusive to chordates?,A1
Charged particles formed during a chemical reaction are called?,A1
A scientific guess about the cause and effect of an event is called?,A1
When light reaches an eyeglass lens the light is?,A1
To make an electromagnet a conductor should be coiled around -?,A1
Geotropism is a response by plants to which force?,A1
Which generates waves that are capable of traveling through a vacuum?,A1
Rabies can lead to an infection of the brain This directly causes problems in the?,A1
Students run laps around the track in physical education class After a few laps the students' breathing gets heavier and their pace begins to slow The students are most likely slowing down because?,B2
In an electric motor electrical energy is converted into?,A1
A student hypothesizes that algae are producers Which question will best help the student determine if this is correct?,B5
A black brick exposed to sunlight becomes warm How is energy from the Sun transferred to the brick?,B2
The cells of a plant help the plant maintain its life functions What part of a plant cell has the function of producing sugar in the presence of sunlight?,A1
Earth's atmosphere is made of many gases Which gas do producers use to make food?,A1
How do toxic heavy metals move from soil to lakes and streams?,B2
If the environment in an area is destroyed a new community of organisms sometimes takes the place of previous communities The introduction of a new community of organisms is known as?,A1
Which energy resource is considered non-renewable?,A1
Which action does a kitten learn from its mother?,A1
Which is made by plants to attract pollinators to flowers?,A1
How is a pond different from a lake?,B2
Bone cells need nutrients Which two systems get nutrients to bone cells?,A1
When a person is infected with the influenza virus the immune system defends the body through a cell-mediated immune response Which immune cell is responsible for protecting the body from the influenza virus infection?,A1
Twentieth-century research by such scientists as Jonas Salk on the use of vaccines has reduced the number of people who are infected with?,A1
What force is needed to help stop a child from slipping on ice?,A1
Don throws a ball in the air The ball comes back to the ground because?,B2
Which enzyme acts first in response to the ingestion of a hamburger patty?,A1
What will happen to a cell that is placed in a hypotonic saline solution?,B2
Which tools are needed to measure the length and mass of a seashell?,A1
A student notices a paw print while walking in a park The paw print could be considered a fossil if the print was in ___?,A1
How does the latitude of a region affect its climate?,B2
When two nitrogen atoms combine they form a?,A1
Specialized cells protect the human body from disease-causing microbes by?,B2
