Question,Class
NOUN AUX ADJ ADP DET NOUN NOUN SCONJ PRON,B2
DET NOUN VERB ADJ NOUN PART ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADP DET ADJ NOUN AUX ADV VERB ADP,B1
PRON AUX DET NOUN ADP NOUN NOUN ADV ADP DET ADJ NOUN,A1
DET NOUN ADJ VERB DET NOUN ADP AUX VERB ADP NOUN,A1
PROPN VERB DET NOUN CCONJ VERB PART VERB WHAT NOUN PRON AUX DET NOUN ADP NOUN ADP DET NOUN VERB ADV VERB PRON PART VERB PRON,A3
PRON AUX DET NOUN ADP NOUN ADP DET ADJ NOUN,B2
DET NOUN ADP NOUN VERB VERB ADJ NOUN NOUN SCONJ PRON AUX VERB ADV,A1
ADJ NOUN AUX NOUN ADP DET PROPN NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN DET PROPN AUX ADJ ADP NOUN NOUN ADP DET NOUN,B1
NOUN AUX VERB WHEN NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN DET NOUN VERB,B1
DET NOUN VERB VERB NOUN NOUN NOUN CCONJ AUX VERB ADP DET NOUN,B1
ADJ NOUN AUX VERB ADP SCONJ DET NOUN ADP DET NOUN SCONJ,B2
PROPN AUX DET ADJ NOUN CCONJ NOUN ADP VERB PROPN PROPN AUX DET NOUN ADP,A1
PRON AUX DET NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP NUM NOUN PROPN,A1
ADP WHICH NOUN ADP NOUN NOUN AUX NOUN NOUN ADV VERB,A1
ADJ NOUN AUX VERB ADP WHICH ADJ NOUN NOUN,A1
DET ADJ NOUN AUX AUX VERB ADP DET NOUN ADP DET ADJ NOUN DET VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN SCONJ DET,B2
DET NOUN AUX ADV VERB ADP NOUN,A1
ADV NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PRON ADV VERB,A1
DET NOUN ADP NOUN VERB VERB NOUN,A1
ADV ADP DET NOUN AUX NOUN VERB,A1
DET NOUN ADP NOUN NOUN WHICH AUX VERB PART VERB ADJ NOUN AUX ADJ ADP DET NOUN ADP WHICH NOUN,A1
NOUN AUX VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NUM NOUN DET NOUN AUX NOUN VERB NOUN ADP DET NOUN ADP NOUN,A1
NOUN NOUN VERB DET NOUN VERB NOUN ADP NOUN DET NOUN VERB NOUN DET NOUN NOUN NOUN ADP VERB VERB PUNCT NOUN NOUN ADV NOUN VERB DET NOUN PRON VERB DET WHICH PROPN DET VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN DET VERB NOUN NOUN DET NOUN VERB PRON VERB ADP DET NOUN VERB ADP DET,C5
NOUN ADP ADP DET ADJ NOUN VERB ADP DET PROPN DET NOUN VERB ADP DET NOUN NOUN DET NOUN ADP DET NOUN AUX ADV ADJ ADP WHICH NOUN,B1
PROPN VERB SCONJ NOUN ADP DET NOUN AUX ADJ NOUN NOUN SCONJ ADP ADJ NOUN DET NOUN VERB DET ADJ NOUN ADP NOUN ADP DET PROPN PROPN,A1
DET NOUN VERB ADP DET NOUN CCONJ NOUN ADP NOUN,A1
DET NOUN AUX ADJ ADP NOUN,A1
VERB NOUN VERB ADP DET ADJ NOUN AUX VERB,A1
DET ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN AUX VERB,A1
ADV NOUN VERB DET NOUN NOUN DET NOUN AUX,A1
PART VERB DET NOUN DET NOUN VERB AUX VERB ADV PUNCT,A1
NOUN AUX DET NOUN ADP NOUN PART WHICH NOUN,A1
DET VERB NOUN DET AUX ADJ ADP VERB ADP DET NOUN,A1
NOUN VERB VERB ADP DET NOUN ADP DET NOUN DET ADV VERB NOUN ADP DET,A1
NOUN VERB NOUN ADP DET NOUN ADP ADJ NOUN NOUN ADP DET ADJ NOUN DET NOUN PART NOUN VERB ADV CCONJ DET NOUN VERB PART VERB DET NOUN AUX ADV ADV VERB ADP,B2
ADP DET ADJ NOUN ADJ NOUN AUX VERB ADP,A1
DET NOUN VERB DET NOUN AUX NOUN DET NOUN VERB ADV VERB DET NOUN VERB SCONJ DET AUX ADJ,B5
DET ADJ NOUN VERB ADP NOUN VERB ADJ ADV AUX NOUN ADP DET PROPN VERB ADP DET NOUN,B2
DET NOUN ADP DET NOUN NOUN DET NOUN VERB DET NOUN NOUN DET NOUN ADP DET NOUN NOUN AUX DET NOUN ADP VERB NOUN ADP DET NOUN ADP NOUN,A1
PROPN PART NOUN AUX VERB ADP ADJ NOUN DET NOUN AUX NOUN VERB PART VERB,A1
ADV AUX ADJ ADJ NOUN NOUN ADP NOUN ADP NOUN CCONJ NOUN,B2
SCONJ DET NOUN ADP DET NOUN AUX VERB DET ADJ NOUN ADP NOUN ADV VERB DET NOUN ADP ADJ NOUN DET NOUN ADP DET ADJ NOUN ADP NOUN AUX VERB SCONJ,A1
DET NOUN NOUN AUX VERB ADJ,A1
DET NOUN AUX DET NOUN VERB ADP DET NOUN,A1
DET AUX VERB ADP NOUN PART VERB NOUN ADP NOUN,A1
ADV AUX DET NOUN ADJ ADP DET NOUN,B2
NOUN NOUN VERB NOUN DET NUM NOUN VERB NOUN ADP NOUN NOUN,A1
ADV DET NOUN AUX VERB ADP DET NOUN NOUN DET ADJ NOUN VERB DET NOUN ADP DET NOUN PUNCT VERB ADJ NOUN DET ADJ NOUN AUX ADJ ADP VERB DET NOUN ADP DET PROPN,A1
ADJ PUNCT NOUN NOUN ADP ADJ NOUN SCONJ PROPN PROPN ADP DET NOUN ADP NOUN AUX VERB DET NOUN WHO NOUN PRON AUX,A1
DET NOUN AUX VERB PART VERB VERB DET NOUN ADP VERB ADP NOUN,A1
PROPN VERB DET NOUN ADP DET NOUN DET NOUN VERB ADV ADP DET NOUN SCONJ,B2
DET NOUN VERB ADV ADP NOUN ADP DET NOUN ADP DET NOUN ADJ,A1
PRON VERB VERB ADP DET NOUN DET AUX VERB ADP DET ADJ NOUN NOUN,B2
DET NOUN AUX VERB PART VERB DET NOUN CCONJ NOUN ADP DET NOUN,A1
DET NOUN VERB DET NOUN NOUN SCONJ VERB ADP DET NOUN DET NOUN NOUN VERB AUX VERB DET NOUN SCONJ DET NOUN AUX ADP PROPN,A1
ADV AUX DET NOUN ADP DET NOUN VERB DET NOUN,B2
ADV NUM NOUN NOUN VERB PRON VERB DET,A1
ADJ NOUN VERB DET ADJ NOUN ADP NOUN PUNCT VERB,B2
