Question,Class
PROPN PROPN AUX DET NOUN PART NOUN DET VERB PROPN CCONJ PROPN ADP PROPN PUNCT DET NOUN PART,EASY
PRON AUX DET ADJ NOUN NOUN ADP PROPN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN ADP PROPN NOUN,EASY
ADV AUX ADJ NOUN VERB ADV ADP DET ADJ NOUN ADP DET NOUN,EASY
PRON AUX PROPN PROPN AUX PART VERB ADP DET ADV ADJ NOUN,EASY
ADP WHAT NOUN AUX DET PROPN NOUN VERB ADP DET PROPN PROPN PROPN,EASY
PRON AUX PRON VERB WHEN VERB NOUN AUX ADJ,DIFFICULT
ADP WHAT NOUN AUX PROPN VERB ADJ ADJ NOUN,EASY
PRON AUX DET ADJ NOUN ADP PROPN PROPN,EASY
ADV AUX PROPN ADJ ADP PROPN,EASY
ADP WHAT NOUN AUX NOUN ADP PROPN VERB ADP,EASY
ADV ADJ NOUN AUX DET ADP PRON VERB,EASY
ADV AUX DET ADJ NOUN VERB ADP PROPN PROPN,EASY
ADP WHAT NOUN AUX PROPN VERB ADP PROPN,EASY
ADP HOW ADJ PROPN NOUN AUX ADP PROPN,EASY
PRON AUX DET NOUN NOUN VERB SCONJ,EASY
PRON AUX DET ADJ PROPN PROPN PROPN,EASY
DET NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN,EASY
DET NOUN ADP DET ADJ ADJ NOUN VERB ADP DET PROPN PROPN ADV VERB ADV ADP ADV WHAT NOUN,EASY
PRON AUX PROPN VERB SCONJ DET ADJ NOUN ADP DET NOUN ADP DET NOUN,EASY
ADV AUX DET ADJ ADJ NOUN ADP PROPN,EASY
PROPN PROPN PROPN AUX DET NOUN ADP DET NOUN ADP WHICH NOUN,EASY
PROPN PROPN VERB PART VERB DET ADJ NOUN ADP PRON,EASY
ADV ADJ AUX ADJ NOUN NOUN,EASY
ADV AUX DET NOUN VERB ADP,EASY
ADV AUX DET ADJ NOUN ADP DET NOUN,EASY
ADP WHAT ADJ NOUN AUX NOUN VERB ADP PROPN,EASY
ADV AUX DET ADV ADJ NOUN NOUN VERB,EASY
PRON VERB VERB ADP NOUN VERB ADP ADJ NOUN NOUN NOUN,DIFFICULT
SCONJ DET NOUN ADP DET NOUN ADP PROPN PUNCT NOUN ADP PROPN NOUN NOUN AUX VERB WHICH DET NUM PROPN,EASY
ADV ADJ NOUN AUX ADJ PROPN VERB ADV ADP NUM,EASY
DET NOUN VERB ADJ NOUN,EASY
PRON AUX PROPN PROPN ADP ADJ NOUN,EASY
PRON AUX PUNCT PROPN PUNCT,EASY
DET NOUN ADP NOUN AUX DET NOUN ADP DET PROPN PROPN ADP PROPN AUX,DIFFICULT
DET NOUN AUX PROPN VERB ADP ADP DET NOUN ADP PROPN,EASY
ADP ADP PROPN CCONJ PROPN WHERE ADV AUX PROPN VERB ADP DET PROPN,EASY
ADP WHICH NOUN AUX NOUN NOUN VERB DET NOUN,EASY
PRON AUX PROPN VERB SCONJ PROPN VERB PART VERB,EASY
PRON AUX DET ADJ NOUN VERB ADP SCONJ,EASY
DET NOUN ADP NOUN AUX VERB ADP PROPN NUM,EASY
PRON AUX DET NOUN ADP ADJ NOUN WHERE NUM NOUN VERB PART VERB ADP DET,EASY
DET NOUN AUX PROPN VERB PART VERB DET NOUN ADP NOUN,EASY
DET NOUN AUX DET PROPN PROPN NOUN,EASY
ADP WHOM AUX DET ADJ NOUN ADP PROPN PROPN PART NOUN VERB DET,EASY
DET NOUN ADP PRON AUX PROPN VERB PART VERB NOUN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN PROPN PROPN VERB,EASY
PRON AUX PROPN CCONJ PROPN NOUN NOUN VERB ADP,EASY
ADP WHAT ADJ NOUN AUX ADJ NOUN VERB DET ADJ ADJ NOUN VERB NOUN,EASY
