When a switch is used in an electrical circuit the switch can;DIFFICULT
Rocks are classified as igneous metamorphic or sedimentary according to;EASY
Scientists use the term "light year" to describe;DIFFICULT
Which group of organisms can show significant trait changes in the shortest period of time;DIFFICULT
Which best describes why winds at the beach change direction between day and night;DIFFICULT
Which of the following properties provides the BEST way to identify a mineral;EASY
Which best describes all unicellular organisms;DIFFICULT
Which best describes transportation technology;DIFFICULT
The chemical equation below shows a reaction of copper;DIFFICULT
A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel When the car was driven on a test track the car only went 25 miles on a gallon of fuel What accounts for most of the difference;DIFFICULT
Which of the following sentences best explains what happens when puddles evaporate;DIFFICULT
Which lists the diameter of the planets in order from smallest to largest;EASY
A student states that plants grow taller when grown in natural light than they do in artificial light Which method is the best way to determine if the statement is fact or opinion;EASY
Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon This finding caused scientists to question whether Pluto is a planet because;DIFFICULT
Which statement best identifies a basic need of all animals;EASY
Which of the following describes an instinctive behavior;DIFFICULT
The items listed below were found in a science classroom * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of;EASY
A student determined the density of different bars of soap Which should the student most likely do to check the accuracy of the results;EASY
Which method below would be the best way to determine if an egg plastic foam a piece of wood or a candle would float on water;EASY
Gold atoms can be identified based on the number of which subatomic particles;EASY
Which best describes the role of the esophagus in digestion;DIFFICULT
Which of these can be described as a system of stars gases dust and other matter that orbits a common center of gravity;DIFFICULT
A scientist uses angstrom units to measure the distance between two points The scientist is most likely measuring the distance between two;DIFFICULT
Which best describes the orbit of the Moon around Earth;DIFFICULT
Which renewable resource is used with photovoltaic cells to produce electricity;DIFFICULT
To safely conduct an experiment using chemicals what should students always do;DIFFICULT
A student conducts an experiment using a common but potentially harmful bacteria culture After working with the bacteria which is the most important safety practice to follow;DIFFICULT
What tool would be used to examine a fingerprint;DIFFICULT
Which sense is used to tell if there is sugar in a glass of tea;DIFFICULT
Which part of the electromagnetic spectrum can humans sense without using equipment or technology;DIFFICULT
The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins During digestion proteins undergo;DIFFICULT
Which statement best identifies a living thing that depends on another living thing to survive;EASY
Structural geologists study rock formations to determine the type of environment in which the rocks formed and the events that shaped the rocks Paleontologists study fossils found in rock formations Scientists in both these fields have a common interest in discovering the;EASY
Which of these best defines the term "pollutant";EASY
The cell cycle describes the processes that take place as a cell;DIFFICULT
A company that makes fences started using a new material instead of wood The new material will last longer than wood What is the most likely benefit of the new material;DIFFICULT
Which best explains how the Appalachian Mountains formed;DIFFICULT
A student used two long wires to connect a lightbulb to a battery The student noticed that as soon as the circuit was complete a nearby compass started to point in a direction other than north The compass pointed in a different direction because it was reacting to the;DIFFICULT
If two organisms are classified in different orders but are in the same class which of these statements is true;EASY
Why do mountain climbers at high elevations use oxygen tanks to help them breathe;DIFFICULT
Which metric unit is used to describe an object's length;DIFFICULT
The work of which scientist serves as the basis for many procedures used in agriculture such as selective breeding of plants;DIFFICULT
A person named Leonardo da Vinci studied many things including animals geology clouds and flight His study of birds helped him design the first parachute Everything he saw made him ask how and why Which human quality most likely made this person want to study many different things;EASY
If a scientist wants the medical community to revise old information and use new research findings in the treatment of a disease it would be best to present the information;DIFFICULT
Phobos is one of two large objects that orbit the planet Mars Because Phobos orbits Mars Phobos should be classified as which type of body;EASY
Sir Isaac Newton determined that white light is made up of all the colors of the rainbow What did he use to discover this phenomenon;EASY
Species are classified based on their characteristics Which characteristic identifies two organisms as members of one species The organisms;EASY
Which part of a plant is used to absorb sunlight during photosynthesis;DIFFICULT
Which best describes a proton;DIFFICULT
For two organisms to be classified as the same species they must produce offspring that are;EASY
Which sentence best describes the organization of the heart;DIFFICULT
What would be the best way to determine the role of squirrels in a forest ecosystem;EASY
Which of the following systems breaks food into nutrients that can be used by the body;DIFFICULT
Which of these renewable resources results in an increase in pollution when used to produce energy;DIFFICULT
The BEST way to tell the DIFFERENCE between an oak and a maple tree is to compare the;DIFFICULT
Which example describes a learned behavior in a dog;DIFFICULT
Which of these explains how a trench can form;DIFFICULT
Which statement identifies an energy source as renewable;EASY
Which statement is describing climate;DIFFICULT
Which metalloid is used in solar cells and computer chips;DIFFICULT
Which best describes the function of the small intestine;DIFFICULT
Why are many telescopes used far from cities;DIFFICULT
Which best explains why a person infected with bacteria may have a fever;DIFFICULT
What is determined by the speed that Earth rotates on its axis;EASY
A scientist developed a model that described the actions of DNA in the cell nuclei which helped explain how traits were inherited Which scientist helped develop this model;DIFFICULT
Which tools are best used to determine the speed of a turtle as it walks along a path;DIFFICULT
Why would explorers use a compass when traveling to unknown lands;DIFFICULT
Which measurement tool is used to find the volume of a small piece of granite;DIFFICULT
Which unit of measurement can be used to describe the length of a desk;DIFFICULT
Compared to other stars in our galaxy which is the best description of our Sun;DIFFICULT
Which of the following describes asexual reproduction;DIFFICULT
What determines if twins are identical;EASY
Salt concentration water temperature plankton and the whale shark might all be used in a description of an ocean;DIFFICULT
